purchase_day_of_week,purchase_hour,is_weekend_order,estimated_delivery_days,customer_state,customer_city,seller_state,seller_city,seller_customer_same_state,seller_customer_same_city,product_category_name,product_weight_g,product_weight_kg,total_product_weight_g,total_product_weight_kg,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,total_product_volume_cm3,product_weight_bucket,freight_value,freight_value_bucket,price,item_count,sla_breached
2,8,0,15.625671296296296,RJ,campos dos goytacazes,SP,volta redonda,0,0,cool_stuff,650.0,0.65,650.0,0.65,28.0,9.0,14.0,3528.0,3528.0,500g-1kg,13.29,0-15,58.9,1,0
2,10,0,18.546458333333334,SP,santa fe do sul,SP,sao paulo,1,0,pet_shop,30000.0,30.0,30000.0,30.0,50.0,30.0,40.0,60000.0,60000.0,10kg+,19.93,15-30,239.9,1,0
6,14,1,21.393391203703704,MG,para de minas,MG,borda da mata,1,0,moveis_decoracao,3050.0,3.05,3050.0,3.05,33.0,13.0,33.0,14157.0,14157.0,1-5kg,17.87,15-30,199.0,1,0
2,10,0,11.58292824074074,SP,atibaia,SP,franca,1,0,perfumaria,200.0,0.2,200.0,0.2,16.0,10.0,15.0,2400.0,2400.0,0-500g,12.79,0-15,12.99,1,0
5,13,1,40.41815972222222,SP,varzea paulista,PR,loanda,0,0,ferramentas_jardim,3750.0,3.75,3750.0,3.75,35.0,40.0,30.0,42000.0,42000.0,1-5kg,18.14,15-30,199.9,1,0
0,21,0,21.095439814814814,MG,uberaba,SP,ribeirao preto,0,0,utilidades_domesticas,450.0,0.45,450.0,0.45,24.0,8.0,15.0,2880.0,2880.0,0-500g,12.69,0-15,21.9,1,0
6,11,1,24.504305555555554,SP,guararapes,SP,sao paulo,1,0,telefonia,200.0,0.2,200.0,0.2,27.0,5.0,20.0,2700.0,2700.0,0-500g,11.85,0-15,19.9,1,0
2,12,0,20.494131944444444,SP,praia grande,SP,presidente prudente,1,0,ferramentas_jardim,13805.0,13.805,13805.0,13.805,35.0,75.0,45.0,118125.0,118125.0,10kg+,70.75,60-100,810.0,1,0
0,18,0,9.221840277777778,SP,santos,SP,sao paulo,1,0,beleza_saude,2000.0,2.0,2000.0,2.0,30.0,12.0,16.0,5760.0,5760.0,1-5kg,11.65,0-15,145.95,1,1
0,13,0,20.416909722222222,SP,jandira,SP,sao paulo,1,0,livros_tecnicos,850.0,0.85,850.0,0.85,29.0,3.0,21.0,1827.0,1827.0,500g-1kg,11.4,0-15,53.99,1,0
5,22,1,15.072106481481482,SP,piracicaba,SP,santo andre,1,0,beleza_saude,950.0,0.95,950.0,0.95,35.0,25.0,20.0,17500.0,17500.0,500g-1kg,8.88,0-15,59.99,1,0
4,17,0,10.276770833333334,SP,monte alto,SP,sao paulo,1,0,fashion_bolsas_e_acessorios,200.0,0.2,200.0,0.2,16.0,16.0,11.0,2816.0,2816.0,0-500g,12.98,0-15,45.0,1,1
1,17,0,28.28869212962963,RJ,rio de janeiro,SP,ibitinga,0,0,cama_mesa_banho,1383.0,1.383,1383.0,1.383,50.0,10.0,40.0,20000.0,20000.0,1-5kg,23.32,15-30,74.0,1,0
1,22,0,20.07614583333333,SP,jandira,SP,sao jose do rio preto,1,0,ferramentas_jardim,1650.0,1.65,3300.0,3.3,30.0,22.0,30.0,19800.0,39600.0,1-5kg,26.74,15-30,99.8,2,0
1,20,0,13.13670138888889,MG,alfenas,PR,cascavel,0,0,esporte_lazer,1050.0,1.05,1050.0,1.05,40.0,20.0,30.0,24000.0,24000.0,1-5kg,27.65,15-30,99.9,1,0
2,9,0,13.617581018518518,SP,campinas,SP,guarulhos,1,0,consoles_games,200.0,0.2,200.0,0.2,16.0,5.0,12.0,960.0,960.0,0-500g,11.34,0-15,639.0,1,0
4,20,0,10.143310185185186,SP,santa barbara d'oeste,SP,campinas,1,0,perfumaria,468.0,0.468,468.0,0.468,23.0,18.0,19.0,7866.0,7866.0,0-500g,8.77,0-15,144.0,1,0
5,10,1,19.577118055555555,SP,jundiai,SP,ribeirao preto,1,0,esporte_lazer,1800.0,1.8,1800.0,1.8,16.0,16.0,16.0,4096.0,4096.0,1-5kg,13.71,0-15,99.0,1,0
3,11,0,24.503680555555555,SP,cubatao,SC,jaragua do sul,0,0,cool_stuff,600.0,0.6,600.0,0.6,20.0,20.0,21.0,8400.0,8400.0,500g-1kg,16.11,15-30,25.0,1,0
4,19,0,12.174699074074073,SP,sao paulo,SP,sao paulo,1,1,cama_mesa_banho,800.0,0.8,800.0,0.8,20.0,20.0,20.0,8000.0,8000.0,500g-1kg,8.88,0-15,47.9,1,0
1,18,0,15.212233796296296,SP,santa cruz do rio pardo,SP,sao paulo,1,0,telefonia,300.0,0.3,300.0,0.3,17.0,4.0,12.0,816.0,816.0,0-500g,11.85,0-15,21.99,1,1
2,10,0,34.560266203703705,RJ,volta redonda,SP,itaquaquecetuba,0,0,moveis_escritorio,9375.0,9.375,9375.0,9.375,55.0,54.0,19.0,56430.0,56430.0,5-10kg,44.4,30-60,119.99,1,0
1,9,0,23.606087962962963,PR,ivaipora,SP,sao paulo,0,0,fashion_bolsas_e_acessorios,250.0,0.25,250.0,0.25,16.0,2.0,20.0,640.0,640.0,0-500g,15.1,15-30,49.0,1,0
0,17,0,15.264201388888889,RJ,rio de janeiro,SP,maua,0,0,cool_stuff,1800.0,1.8,1800.0,1.8,34.0,5.0,34.0,5780.0,5780.0,1-5kg,16.6,15-30,48.9,1,0
6,0,1,24.970266203703705,RJ,nova iguacu,PR,campo largo,0,0,esporte_lazer,9800.0,9.8,9800.0,9.8,105.0,15.0,28.0,44100.0,44100.0,5-10kg,16.98,15-30,219.9,1,0
1,21,0,29.094872685185184,SP,sao paulo,SP,serra negra,1,0,malas_acessorios,2965.0,2.965,2965.0,2.965,41.0,27.0,34.0,37638.0,37638.0,1-5kg,26.33,15-30,289.0,1,0
3,12,0,27.48521990740741,GO,anapolis,SP,santo andre,0,0,moveis_decoracao,2500.0,2.5,2500.0,2.5,47.0,21.0,41.0,40467.0,40467.0,1-5kg,25.51,15-30,109.9,1,0
0,21,0,8.113194444444444,SP,sao bernardo do campo,SP,atibaia,1,0,alimentos,150.0,0.15,150.0,0.15,17.0,13.0,13.0,2873.0,2873.0,0-500g,7.94,0-15,27.9,1,0
1,23,0,22.013206018518517,SP,osasco,MG,monte siao,0,0,moveis_decoracao,2500.0,2.5,2500.0,2.5,34.0,6.0,28.0,5712.0,5712.0,1-5kg,17.32,15-30,119.9,1,0
