feature,importance,signed_value
numeric__estimated_delivery_days,1099,1099
categorical__customer_city,651,651
categorical__customer_state,606,606
numeric__avg_freight_value,531,531
numeric__product_length_cm,433,433
categorical__seller_city,417,417
categorical__seller_customer_city_pair,402,402
numeric__avg_price,397,397
categorical__product_category_name,377,377
numeric__price,374,374
numeric__product_height_cm,374,374
numeric__freight_value,365,365
categorical__seller_customer_state_pair,358,358
numeric__purchase_hour,345,345
numeric__product_width_cm,342,342
numeric__product_weight_g,339,339
numeric__total_product_volume_cm3,327,327
numeric__product_volume_cm3,284,284
numeric__total_product_weight_g,272,272
categorical__purchase_day_of_week,184,184
categorical__seller_state,96,96
categorical__estimated_delivery_days_bucket,64,64
numeric__seller_customer_same_state,63,63
categorical__product_weight_bucket,56,56
categorical__price_bucket,54,54
numeric__seller_count,45,45
numeric__item_count,40,40
numeric__is_weekend_order,38,38
numeric__product_count,30,30
categorical__freight_value_bucket,26,26
numeric__seller_customer_same_city,7,7
categorical__freight_per_item_bucket,4,4
numeric__seller_customer_same_zip_prefix,0,0
numeric__product_weight_kg,0,0
numeric__price_per_item,0,0
numeric__product_category_count,0,0
numeric__total_product_weight_kg,0,0
numeric__freight_per_item,0,0
categorical__product_count_bucket,0,0
categorical__item_count_bucket,0,0
categorical__seller_count_bucket,0,0
